id,E,A,C,N,O
U001,6.863636,8.090909,7.454545,5.045455,5.318182
U002,8.166667,7.75,8.125,5.041667,6.166667
U003,6.208333,6.5,8.75,4.125,6.541667
U004,5.375,6.833333,7.541667,3.583333,5.291667
U005,6.090909,6.863636,7.5,4.5,5.727273
U006,9.3,8.85,7.05,3.1,6.9
U007,8.5,6.95,7.45,4.15,7.0
U008,7.909091,7.863636,7.409091,5.181818,6.545455
U009,8.409091,7.590909,6.772727,3.090909,6.272727
U010,7.454545,6.863636,7.272727,5.954545,6.590909
U011,8.3,7.95,8.1,3.8,6.55
U012,4.318182,3.909091,6.5,5.0,5.545455
U013,6.35,7.5,8.25,3.35,6.35
U014,5.954545,7.045455,7.454545,4.772727,5.681818
U015,7.909091,7.227273,9.181818,3.045455,6.045455
U016,6.95,6.75,7.6,3.75,5.95
U017,6.55,8.0,8.0,3.0,6.15
U018,6.0,6.833333,5.722222,4.444444,6.666667
