name,acc_r,r2,acc_c,bal_acc,p,r,f1,auc
A_fold0_ep0,0.8418,0.9449,0.6266,0.5,0.3133,0.5,0.3852,0.5
A_fold1_ep0,0.8212,0.9617,0.9823,0.9823,0.5,0.4912,0.4955,
A_fold2_ep0,0.8677,0.9801,1.0,1.0,1.0,1.0,1.0,
A_fold3_ep0,0.9139,0.9903,1.0,1.0,1.0,1.0,1.0,
A_fold4_ep0,0.9518,0.9957,1.0,1.0,1.0,1.0,1.0,
A_fold5_ep0,0.8055,0.958,1.0,1.0,1.0,1.0,1.0,
C_fold0_ep0,0.9627,0.9981,1.0,1.0,1.0,1.0,1.0,
C_fold1_ep0,0.8078,0.9412,1.0,1.0,1.0,1.0,1.0,
C_fold2_ep0,0.8776,0.98,0.7206,0.5,0.3603,0.5,0.4188,0.5
C_fold3_ep0,0.844,0.9713,0.8705,0.5,0.4353,0.5,0.4654,0.5
C_fold4_ep0,0.8393,0.9707,0.4956,0.5,0.2478,0.5,0.3314,0.5
C_fold5_ep0,0.9189,0.9886,1.0,1.0,1.0,1.0,1.0,
E_fold0_ep0,0.7976,0.9171,0.5793,0.5,0.2896,0.5,0.3668,0.5
E_fold1_ep0,0.9068,0.9901,0.9975,0.9975,0.5,0.4987,0.4994,
E_fold2_ep0,0.7828,0.9438,0.9987,0.9992,0.9968,0.9992,0.998,0.9992
E_fold3_ep0,0.805,0.9259,0.4607,0.5,0.2303,0.5,0.3154,0.5
E_fold4_ep0,0.9235,0.9924,1.0,1.0,1.0,1.0,1.0,
E_fold5_ep0,0.8665,0.9776,0.9769,0.9769,0.5,0.4885,0.4942,
N_fold0_ep0,0.7844,0.9199,0.5793,0.5,0.2896,0.5,0.3668,0.5
N_fold1_ep0,0.865,0.9756,0.7652,0.7652,0.5,0.3826,0.4335,
N_fold2_ep0,0.8789,0.9817,0.971,0.971,0.5,0.4855,0.4926,
N_fold3_ep0,0.7893,0.9297,0.5443,0.3997,0.3152,0.3997,0.3525,0.3997
N_fold4_ep0,0.9326,0.9928,0.9913,0.9913,0.5,0.4956,0.4978,
N_fold5_ep0,0.7248,0.8762,0.3837,0.5,0.1918,0.5,0.2773,0.5
O_fold0_ep0,0.9902,0.9998,0.6872,0.7504,0.7721,0.7504,0.6861,0.7504
O_fold1_ep0,0.9707,0.9989,0.9551,0.9551,0.5,0.4775,0.4885,
O_fold2_ep0,0.8762,0.9809,0.5161,0.5118,0.6303,0.5118,0.3703,0.5118
O_fold3_ep0,0.9235,0.9926,0.8355,0.4799,0.4329,0.4799,0.4552,0.4799
O_fold4_ep0,0.891,0.9821,0.8126,0.8119,0.8221,0.8119,0.811,0.8119
O_fold5_ep0,0.7918,0.9513,0.3321,0.275,0.228,0.275,0.2493,0.275
